Generating quicklooks for year 2025...
Failed to process stfc-temperature-rh-1_cao_20250714_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250715_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250716_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250717_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250718_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250719_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250720_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250721_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250722_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250723_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250724_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250725_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250726_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250727_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250728_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250729_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250730_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250731_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250801_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250802_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250803_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250804_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250805_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250806_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250807_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250808_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250809_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250810_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250811_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250812_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250813_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250814_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250815_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250816_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250817_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250818_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250819_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250820_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
